Farm,Field,Treatment,Plot,Field.ID,CBH,BG,NAG,LAP,NH4,NO3,C flux,N flux,Net N Enz,Net NO3,Net C Enz
WNF,G1,Graze,C,1,209.9875,854.3905,3896.266,46.874,2.13103095,2.20822625,30816.54441,14.29933335,1.007508961,10.1197894,3.129111059
WNF,G2,Graze,A,2,11424.9,641.6785,15416.715,15416.715,0.06503135,1.13651875,48234.41905,10.86689719,0.092056399,11.6613889,3.253678674
WNF,G2,Graze,B,2,11702.255,747.838,15861.26,15861.26,-0.01426045,1.00594,24830.72503,10.55627104,-0.085579913,5.3376338,3.338677601
WNF,G2,Graze,C,2,16952.04,750.099,19550.365,19550.365,0.01515425,0.66256625,36166.22287,6.689503683,1.164084201,5.4911468,3.236605285
WNF,H3,Hay,A,1,259.0505,1107.0105,4256.2195,50.055,2.49263695,6.15460625,32157.17374,10.96600798,1.458101552,4.1979052,3.091196384
WNF,H3,Hay,B,1,192.1955,690.925,2618.6955,47.7415,2.34956675,1.2845025,30545.16126,6.138335665,1.271957538,6.3504513,3.077190939
WNF,H3,Hay,C,1,274.47,901.671,2934.195,49.765,2.2123923,3.95894875,31607.17811,6.320629275,1.450108761,11.3430591,3.056780283
WNF,H4,Hay,A,2,21796.315,792.956,8115.42,8115.42,0.08677265,0.290175,29269.90832,9.213227026,1.212540851,9.5236083,3.249624698
WNF,H4,Hay,B,2,20952.4,859.502,9706.855,9706.855,0.0938066,0.5319875,35549.05332,16.07925822,1.200913164,9.7807872,2.971921577
WNF,H4,Hay,C,2,23210.06,788.4345,13496.56,13496.56,0.06886805,0.49813375,38817.52209,12.96770029,0.734520255,9.2042696,2.82298578
