Farm,Date Sampled,Site,Rep,Plot,Start ,T_Air,T_5cm,T_10cm,AVG_Moist,AVG_Depth,umol_CO2 T0,umol_CO2 T5,umol_CO2 T10,umol_CO2 T15,umol_CO2 T20,ppm_N2O T0,ppm_N2O T5,ppm_N2O T10,ppm_N2O T15,ppm_N2O T20
FRF,8/20/2016,GRAZ,1,A,10:00,20.4,20.4,20.5,17.1,15.5,125.8090763,190.3119491,263.8192208,323.6372272,368.2723985,502.6668276,559.8911189,571.9770972,572.063735,579.8611404
FRF,8/26/2016,GRAZ,1,A,16:22,30.3,27.7,25.3,19.43,15.8,129.9095986,210.2920785,311.4061389,427.0362117,530.987071,665.5508179,736.3509039,737.4809237,748.3464986,769.3387893
FRF,9/2/2016,GRAZ,1,A,10:47,19.6,19.9,18.4,13.53,14.93,130.9785135,193.6532394,241.8106715,311.1741892,312.7529682,330.8647411,370.0390423,415.6906345,484.2789353,529.8861624
FRF,9/9/2016,GRAZ,1,A,13:43,29.7,24.5,22.4,12.47,16.04,116.7873116,251.3340777,376.2564427,521.1774867,617.5454934,537.5852053,409.5978643,442.8257736,434.0862567,439.8534506
FRF,9/14/2016,GRAZ,1,A,13:48,27.8,22,19.6,10.4,15.9,145.8076828,220.0961879,277.405913,321.2584582,368.4651496,301.9504449,335.3414736,330.8115018,314.0926371,287.5666171
FRF,9/22/2016,GRAZ,1,A,9:25,14.4,15.7,16.6,18.07,15.73,136.1354405,188.0154081,265.3696143,357.367313,437.909415,368.7867852,400.0691954,417.1702463,429.4051445,425.604911
FRF,9/30/2016,GRAZ,1,A,12:32,16.8,14.4,14,17.43,15.36,85.16951719,150.5083027,181.5916425,266.116996,291.4443654,372.5467231,443.4037288,555.1993258,601.2381644,537.4395365
FRF,10/5/2016,GRAZ,1,A,15:57,19.7,18.8,17.2,23.1,15.43,115.533149,203.9209117,265.252252,319.3909694,413.5742267,622.2576763,623.3499988,635.7365227,627.0803828,631.2847936
FRF,10/14/2016,GRAZ,1,A,15:31,15.7,12.5,11.9,17.73,14.79,98.48002681,143.1497063,204.5046609,240.3048647,304.5543301,562.9603968,560.0844242,570.6022666,573.6631231,632.1891638
FRF,10/19/2016,GRAZ,1,A,11:44,22.4,15.6,14.2,24.43,16.49,125.0904933,205.5729937,280.4694444,336.237743,391.2413493,502.1584441,512.3923346,523.1287822,521.3013018,523.0374082
FRF,10/27/2016,GRAZ,1,A,9:17,1.8,3.7,5.7,19.03,16.21,125.0879367,151.594323,152.5965902,154.8994182,189.4895663,664.5304739,662.5944268,670.8481014,667.016766,670.5220303
FRF,5/25/2017,GRAZ,1,A,1:05,14.4,14.5,14.1,33.73,16.54,117.3632767,183.4846629,234.0693624,386.3938979,442.290793,619.8097132,597.5962752,614.4335886,612.5430832,619.8097132
FRF,6/1/2017,GRAZ,1,A,1:35,22.9,20.8,18.7,33.53,16.22,134.3492258,191.9424474,244.3560662,135.0658638,637.260112,1,1,1,1,1
FRF,6/8/2017,GRAZ,1,A,11:32,22.6,19.5,15.7,35.37,14.86,186.8590747,335.7082115,329.7751611,388.534769,808.4848265,590.6604213,630.3991887,615.9253704,630.3991887,639.8200172
FRF,6/13/2017,GRAZ,1,A,10:32,28.7,21.3,19.1,32.23,15.91,159.0933148,166.2916014,249.7075354,265.1985849,469.5036385,620.2109094,605.3407763,616.5297038,624.473358,642.6856384
FRF,6/22/2017,GRAZ,1,A,10:30,21.3,22.8,19.8,32.97,15.69,466.5167363,544.0389003,605.1590065,807.0255558,1009.241829,670.9437784,662.1899863,699.9534385,652.4692054,729.1666751
FRF,6/27/2017,GRAZ,1,A,11:26,24.4,20.5,20,30.47,15.9,-140.7908684,75.0393439,211.9521928,509.6846929,587.0236343,614.533106,709.6878121,770.4646792,865.5208814,921.3233048
FRF,7/6/2017,GRAZ,1,A,12:14,23.5,21,20.2,26.63,16.29,1,1,1,1,1,,661.5703591,668.129397,689.7795545,701.2445395
FRF,7/11/2017,GRAZ,1,A,11:34,26.6,21.3,20.4,29.93,15.18,117.532283,152.2284488,219.2704301,240.7166991,382.752771,708.21724,554.023473,600.2382598,675.9264862,749.7726227
FRF,7/20/2017,GRAZ,1,A,10:51,27.4,22.4,22.4,21.37,15.92,237.3425467,299.723739,532.8370488,640.8791562,1028.213861,750.4622785,701.6067464,753.9224483,752.2181856,785.425487
FRF,7/26/2017,GRAZ,1,A,2:09,27.2,22.1,20,30.9,18.07,249.0124983,476.0081219,929.6534743,1022.424211,1098.964502,3843.95793,571.3435911,597.456293,698.1101007,680.9902936
FRF,8/1/2017,GRAZ,1,A,11:04,20.8,21.3,21.1,21.53,15.79,134.4738912,144.3097996,145.6197039,169.2987427,179.770226,568.1797669,559.9713692,602.992688,590.0688277,605.3213115
FRF,8/9/2017,GRAZ,1,A,1:04,22.1,23.7,20.4,30,16.86,264.5863694,314.0328918,343.1102496,476.3506105,543.8691362,682.460219,835.4950934,716.7452387,758.5707928,803.1630178
FRF,8/17/2017,GRAZ,1,A,11:13,24.8,19.6,18.5,32.1,15.64,143.3308963,253.7829592,425.5141717,500.1481826,738.7622782,657.4734249,630.6905739,660.4972952,686.8481647,704.5114069
FRF,8/23/2017,GRAZ,1,A,1:17,21.8,22.9,21.6,32.47,16.47,131.2454123,267.2289176,349.131393,522.3646521,693.3376568,644.9487927,671.4082334,695.9213534,717.1730712,637.9525589
FRF,9/7/2017,GRAZ,1,A,10:20,16.7,17.8,17.3,35.83,16.36,346.6153203,424.8613868,530.6266084,697.9263701,782.1637276,642.0337083,854.8819814,743.6879166,745.8252615,771.004227
FRF,9/13/2017,GRAZ,1,A,11:46,21.8,17.1,15.2,26.67,16.08,,236.611228,307.8945152,446.0225444,579.340083,625.2364286,673.0992558,687.6528349,715.8888283,734.8494772
FRF,9/21/2017,GRAZ,1,A,11:05,23.2,19.3,18.8,34.83,16.34,258.2176438,394.5931152,460.2044881,552.5744981,643.8428909,630.2758364,653.0187867,675.6585944,707.4780964,702.7335353
FRF,10/6/2017,GRAZ,1,A,12:12,15.9,13.9,13.8,22.9,15.79,258.7093024,313.7144441,388.938867,475.4057596,533.90093,606.9063346,608.4663853,627.0863453,627.8915327,637.3021611
FRF,10/13/2017,GRAZ,1,A,11:25,12.2,12.3,11.9,30.57,16.01,253.1893557,303.6657501,334.5085676,378.3708138,442.4874384,612.2688138,630.8094907,650.7647151,679.8639792,681.1774876
FRF,5/20/2016,GRAZ,1,B,10:30,18.4,20,14.8,20.77,16.57,202.9967811,370.7421979,546.1491064,628.6397995,757.3528622,1773.591253,2255.870763,1911.095374,2573.448243,1837.042299
FRF,5/26/2016,GRAZ,1,B,13:17,28.9,26.2,19.6,20.8,14.76,213.3723258,384.5292801,532.9491348,684.8753251,805.1633708,1710.555949,1733.601197,1817.251775,1761.134757,1763.129562
FRF,6/3/2016,GRAZ,1,B,14:53,24,25,21.3,9.37,14.96,226.3588356,291.1461416,433.9748777,531.6609077,668.4022101,1619.523887,1593.109148,1647.335001,1628.425771,1670.229715
FRF,6/9/2016,GRAZ,1,B,8:55,13.8,16.7,16.4,23.2,15.39,132.7471892,183.8597751,226.2327246,287.1934126,315.7277835,2015.127069,1988.465742,2127.318365,2004.089199,2016.236267
FRF,6/17/2016,GRAZ,1,B,11:13,19.9,16.9,15.4,13.97,14.71,137.2107874,217.6266757,274.7264794,374.2982385,469.8241028,1715.111799,1717.139034,1721.894276,1724.622283,1722.645104
FRF,6/23/2016,GRAZ,1,B,10:38,21.1,18.4,15.5,7.77,15.58,160.3890719,203.1420793,241.5634697,285.9638601,329.8695093,1838.765019,1809.820905,1927.376827,1901.240931,1878.052275
FRF,6/30/2016,GRAZ,1,B,10:44,20.9,25.4,20.4,9.4,15.31,111.6770772,183.4720821,256.63209,254.5041386,329.5689225,1575.183847,1610.223698,1619.660344,1584.608189,1585.543241
FRF,7/6/2016,GRAZ,1,B,8:41,23.8,20.3,19.7,5.9,15.3,118.6008628,163.4434902,205.6303739,214.1129771,230.4471158,1577.901191,1571.852351,1585.277826,1581.982929,1726.958378
FRF,7/15/2016,GRAZ,1,B,10:19,24.7,24.5,22.6,7.33,15.54,,224.304997,324.4840694,423.2902623,457.3757251,1802.272622,1785.479744,1796.095062,1795.91856,1860.492974
FRF,7/21/2016,GRAZ,1,B,8:39,16.8,17.3,17.7,9.03,14.87,136.0192222,176.3901014,264.3494075,266.6459,298.5826373,770.9632984,771.6681631,766.6239748,785.7214039,791.0519435
FRF,7/28/2016,GRAZ,1,B,10:35,29,24.1,22.1,4.47,16.03,131.0468563,176.1829389,201.0434117,218.4000414,233.658347,680.826021,689.0849186,695.3486893,695.9982655,695.8590706
FRF,8/3/2016,GRAZ,1,B,10:58,21.1,24.2,21.6,20.67,14.1,107.9617022,181.1148023,262.1671574,345.1343318,344.2144186,575.2831004,589.1663077,607.5203783,633.9533775,637.4045702
FRF,8/13/2016,GRAZ,1,B,8:14,24.5,24,24.2,21.5,16.17,153.7551419,261.408737,313.7341535,450.0133666,514.6721323,215.6463809,140.3007098,145.9833463,175.6142365,196.5182206
FRF,8/20/2016,GRAZ,1,B,10:00,20.4,20.2,20.1,16.77,15.3,124.1857334,192.6663405,247.0403561,323.9796148,466.1963297,496.180804,559.9359114,562.2021895,569.0865439,582.6842126
FRF,8/26/2016,GRAZ,1,B,16:22,30.3,25.1,23.5,19.5,15.71,129.1787429,189.8534943,267.0940015,358.0260187,440.9130599,661.8065095,724.9476948,746.5565878,867.7824774,774.5184953
FRF,9/2/2016,GRAZ,1,B,10:47,19.6,18.6,17.9,13,15.19,133.2199613,208.2885887,243.1362807,290.8541019,317.3877569,336.526861,395.9554713,452.9473732,578.505542,615.3945997
FRF,9/9/2016,GRAZ,1,B,13:43,29.7,26.3,23.2,10.5,14.51,105.6261973,203.2086994,284.4126356,366.3962492,500.7090336,486.2093339,387.1447835,387.8670038,391.9796472,406.4441147
FRF,9/14/2016,GRAZ,1,B,13:48,27.8,22.7,20.3,10.93,16.26,149.068232,229.5521336,285.3056783,319.9084644,367.8854608,308.7026561,344.6069417,295.8592347,362.7978098,350.2408589
FRF,9/22/2016,GRAZ,1,B,9:25,14.4,16,16.9,20.13,15.62,135.174032,196.3618517,265.2247186,334.6161067,394.7813527,366.1823587,392.7341799,405.6879713,420.8045627,423.565584
FRF,9/30/2016,GRAZ,1,B,12:32,16.8,14.2,13.9,17.2,15.6,86.52532716,138.0422875,219.4674572,237.9597226,283.8971683,378.4772787,530.2193863,456.2913717,561.4236703,490.6183972
FRF,10/5/2016,GRAZ,1,B,15:57,19.7,18.5,17,22.07,15.57,116.5312756,202.9947319,280.344067,326.691037,373.4490233,627.6335526,623.060212,622.3118472,628.8808273,637.7364777
FRF,10/14/2016,GRAZ,1,B,15:31,15.7,14.9,12.7,18.03,15.73,104.7691345,144.6557417,176.6098661,213.1533572,234.7352493,598.9120374,597.469637,595.0656364,617.7506606,621.2910979
FRF,10/19/2016,GRAZ,1,B,11:44,22.4,16.2,14.5,21.23,15.11,114.638188,174.6432332,265.8361901,314.370048,334.6981052,460.1991132,479.4172128,480.1080595,498.2166175,492.6479742
FRF,10/27/2016,GRAZ,1,B,9:17,1.8,3.9,5.3,22,16.29,125.6880844,159.1913391,141.7833141,157.5668299,171.9596218,667.7187627,668.5992832,674.2305186,661.6165512,665.9167673
FRF,5/25/2017,GRAZ,1,B,1:04,14.4,13.7,13.5,26.37,15.39,109.165976,187.8470798,243.2776374,382.3542275,402.7157964,576.5187728,572.7270891,570.4740597,599.213923,577.9475232
FRF,6/1/2017,GRAZ,1,B,1:36,22.9,19.5,17.5,33.67,14.84,122.9387436,228.6781123,329.4165468,429.3552583,513.795339,1,1,1,1,1
FRF,6/8/2017,GRAZ,1,B,11:30,22.6,19.8,16.6,33.07,14.36,180.5698763,300.1557854,758.742019,512.2127336,409.2391294,570.7803024,615.5128071,635.3341483,657.3072843,679.8597497
FRF,6/13/2017,GRAZ,1,B,10:31,28.7,21.7,19.6,27.9,15.89,158.8711175,329.5979595,669.7737356,583.3467924,499.206632,619.3446931,625.681067,629.4538698,642.6586795,641.0624937
FRF,6/22/2017,GRAZ,1,B,10:29,21.3,22,19.2,35.47,17.67,525.3269198,664.0074895,693.0773103,797.1287596,887.0817724,755.5245097,863.3245708,863.3818808,747.5584233,774.2648712
FRF,6/27/2017,GRAZ,1,B,11:25,24.4,20.4,19.9,26.63,15.37,-136.0683235,28.38339928,-85.25079432,244.1535183,4.869139891,593.9198362,648.8024775,660.369244,649.8496744,662.8920367
FRF,7/6/2017,GRAZ,1,B,12:15,23.5,22.5,21.1,21.97,15.94,1,1,1,1,1,,708.1825603,657.8115952,642.9351962,692.4187972
FRF,7/11/2017,GRAZ,1,B,11:33,26.6,23.4,21.6,22.37,15.39,119.1670658,183.6302771,210.9829758,283.8666355,498.0157017,718.0679922,474.6611698,537.4492533,536.9548589,560.3012592
FRF,7/20/2017,GRAZ,1,B,10:52,27.4,24,22.2,15.17,14.49,215.9767487,424.3463684,515.1953821,405.9647987,821.0881862,682.9049624,717.3054892,594.6478732,637.5075459,648.7864071
FRF,7/26/2017,GRAZ,1,B,2:08,27.2,25,22.1,22.97,15.32,211.1858764,378.2530617,826.4934697,889.6767733,910.5874381,3260.035661,814.2571823,560.7079396,566.4704224,595.7347958
FRF,8/1/2017,GRAZ,1,B,11:03,20.8,22.6,20,15.33,14.23,121.2252319,265.3517769,336.9783446,384.8900971,428.1483237,512.2014648,503.3323344,923.1203441,555.0776748,599.5807667
FRF,8/9/2017,GRAZ,1,B,1:03,22.1,22.7,20.4,26.53,15.26,239.4707219,268.954154,329.5380998,346.0259923,432.0801084,617.6782338,497.483983,630.7385569,678.2172499,728.6418805
FRF,8/17/2017,GRAZ,1,B,11:14,24.8,19.9,18.7,29.27,16.24,148.8279619,313.6228901,420.3941698,628.9636315,689.6805192,682.689025,694.2516199,704.2692128,719.9684257,727.9924678
FRF,8/23/2017,GRAZ,1,B,1:16,21.8,24.2,22.6,22.1,16.54,131.8653299,292.380554,422.0851223,494.8059248,688.3198079,647.9951096,762.7890569,718.1822007,715.5396145,750.3689014
FRF,9/7/2017,GRAZ,1,B,10:19,16.7,17.9,17.4,37.17,16.18,342.8477624,457.2890836,604.271504,720.1151275,792.247257,635.0550811,685.4328441,717.3507923,758.0345744,787.0649537
FRF,9/13/2017,GRAZ,1,B,11:47,21.8,17.8,15.4,39.43,15.98,,273.3779647,317.8816256,449.9756865,579.513128,621.3476049,657.3524744,675.8896349,686.0239617,706.445394
FRF,9/21/2017,GRAZ,1,B,11:03,23.2,19.3,18.8,25.57,15.77,249.0896238,352.0433984,459.5735311,571.4457764,623.5854071,607.9955213,629.3872751,657.6940377,672.8175102,694.9057397
FRF,10/6/2017,GRAZ,1,B,12:11,15.9,14,13.7,23.97,15.79,258.7093024,334.6946661,390.5522902,453.7046464,573.4240753,606.9063346,615.7130724,635.0375714,644.5991725,673.8375421
FRF,10/13/2017,GRAZ,1,B,11:26,12.2,11.9,11.7,29.1,16.12,254.9463949,340.4403788,377.6957522,416.0260808,448.3682083,616.5177299,626.9969792,556.1348709,558.5766377,664.081313
FRF,5/20/2016,GRAZ,1,C,10:30,18.4,18.7,15.1,30.83,15.08,184.752939,304.3065721,409.0668578,540.2813819,618.2173274,1614.194051,1648.215536,1831.608936,1701.183468,1727.638106
FRF,5/26/2016,GRAZ,1,C,13:17,28.9,26,20,28.07,14.74,213.2116539,392.9899565,565.3330392,712.8215013,962.1332957,1709.267879,1756.1105,1769.696433,1738.564188,1763.834549
FRF,6/3/2016,GRAZ,1,C,14:53,24,22.4,20.2,21.43,15.29,231.4039805,393.2592396,514.7974299,763.7925604,828.360743,1655.620259,1733.627003,1675.15912,1709.032425,1711.441326
FRF,6/9/2016,GRAZ,1,C,8:55,13.8,16.5,16.6,33.33,16.11,138.9772017,231.6821069,304.6226193,346.0339737,396.8272254,2109.69982,2146.774977,2085.766658,2112.192267,2126.070668
FRF,6/17/2016,GRAZ,1,C,11:13,19.9,18.6,16.4,24.53,14.84,138.4543897,209.6986529,315.9305952,495.4480831,477.8990738,1730.656619,1751.895591,1929.004882,1761.568037,1763.941953
FRF,6/23/2016,GRAZ,1,C,10:38,21.12,20.2,16.2,17.93,16.16,166.337882,214.0881028,260.6920563,339.1676993,434.3297193,1906.964578,1971.959561,1912.688404,1941.768901,1943.729708
FRF,6/30/2016,GRAZ,1,C,10:44,20.9,21.4,20.9,14.43,15.66,114.1894063,186.278124,232.5647698,333.8307381,405.9566041,1610.619768,1658.877027,1673.721543,1662.676216,1698.139514
FRF,7/6/2016,GRAZ,1,C,8:41,23.8,19.2,19.6,11.93,16.19,125.4912542,205.4854476,333.6787021,267.9628268,393.6187029,1669.573011,1704.436223,1679.901888,1695.798472,1718.121335
FRF,7/15/2016,GRAZ,1,C,10:19,24.7,22.9,21.9,16.43,16.38,,276.0783082,388.0910604,478.6829177,525.3223926,1898.891955,1920.623168,1973.915115,1970.806861,1935.898776
FRF,7/21/2016,GRAZ,1,C,8:39,16.8,16.6,17.5,16.97,15.9,145.473473,187.2956386,246.6517299,320.3302804,392.2349707,824.5504335,844.5747755,862.0548483,872.7973188,890.8899008
FRF,7/28/2016,GRAZ,1,C,10:35,29,22,20.5,9.67,15.69,128.2315738,157.8762118,204.1776259,254.0758267,272.7618061,666.1998209,659.3441906,678.9576497,688.310364,705.0181254
FRF,8/3/2016,GRAZ,1,C,10:58,21.1,21.6,20.5,27.5,15.77,120.7231327,213.0109292,294.3693192,384.4265105,472.817736,643.2834669,676.5685078,697.2675055,717.0894271,742.349221
FRF,8/13/2016,GRAZ,1,C,8:14,24.5,23.4,23.3,27.37,15.93,151.5359955,235.5963284,327.9208117,417.6776377,525.0268864,212.5339589,155.5026552,176.3299573,206.283268,237.8867612
FRF,8/20/2016,GRAZ,1,C,10:00,20.4,19.3,19.8,27.9,16.09,130.5889194,185.2514546,290.0538444,322.4487299,354.3472916,521.7645637,592.5390438,596.0013278,601.4420597,617.606879
FRF,8/26/2016,GRAZ,1,C,16:22,30.3,25.4,23.7,27.67,16.12,132.5589505,195.4640746,274.9997471,364.803712,422.3131249,679.1239358,885.3008634,798.3774867,779.085819,810.795112
FRF,9/2/2016,GRAZ,1,C,10:47,19.6,17.8,17.8,24.63,15.62,137.0206771,200.1141198,286.8724899,344.0387062,405.4219022,346.1278467,358.612569,422.7534099,465.3592651,524.9517685
FRF,9/9/2016,GRAZ,1,C,13:43,29.7,25.3,22.3,17.67,15.09,109.8318346,276.3850707,364.9535883,456.7205676,561.2147597,505.5683579,450.8722445,491.9256202,530.4757414,578.3713464
FRF,9/14/2016,GRAZ,1,C,13:48,27.8,20.9,19.3,18,15.1,138.4714472,189.2207381,308.0823143,352.7451599,426.7800431,286.7579696,259.8812535,331.6411986,343.1724629,389.7410305
FRF,9/22/2016,GRAZ,1,C,9:25,14.4,16,16.9,28.57,15.83,137.0007081,212.773788,267.7025751,346.0375233,417.1468382,371.130769,424.5789171,444.400438,458.4387387,476.5346213
FRF,9/30/2016,GRAZ,1,C,12:32,16.8,14.5,14.3,26.7,15.77,87.44974304,140.7871715,205.860076,262.8948285,311.0955165,382.5208394,559.5899724,499.1330437,507.4558073,623.7407119
FRF,10/5/2016,GRAZ,1,C,15:57,19.7,19.2,17.5,30.17,15.88,118.8602376,180.287511,283.2053109,371.835996,470.5814527,640.1772639,641.5766865,644.2059048,662.9496866,669.7983762
FRF,10/14/2016,GRAZ,1,C,15:31,15.7,12.6,11.8,29.23,16.27,108.3206305,175.6837569,194.9702952,266.5261473,307.4171535,619.2141404,639.2110548,648.9044743,637.6971641,647.7747052
FRF,10/19/2016,GRAZ,1,C,11:44,22.4,14.7,13.8,37.1,16.01,121.4659036,170.615381,201.7017804,253.2315818,281.595354,487.608031,490.2254595,497.7672029,512.3183312,497.6784765
FRF,10/27/2016,GRAZ,1,C,9:17,1.8,4.7,5.7,41.07,15.97,123.2017581,142.4865192,167.5179275,160.9956592,192.4905767,654.5101378,657.9625468,655.232735,659.5281741,665.5096734
FRF,5/25/2017,GRAZ,1,C,1:03,14.4,15.1,15,36.4,15.92,112.9493456,328.3550183,272.9705924,443.0582517,,596.4992068,2.29287604,586.4924788,600.6497247,613.612986
FRF,6/1/2017,GRAZ,1,C,1:37,22.9,22.1,19.1,40.4,16.14,133.7050857,251.5921622,288.5453046,261.4146356,,1,1,1,1,1
FRF,6/8/2017,GRAZ,1,C,11:31,22.6,19.3,16,41.4,15.7,197.4808322,194.3456788,329.6309316,413.1523206,328.2719892,624.2357332,662.9297027,672.1619481,677.2306318,685.4672429
FRF,6/13/2017,GRAZ,1,C,10:30,28.7,25,21.7,36.43,15.73,157.3157359,121.1586781,293.8371004,284.9460206,314.0335044,613.2811786,609.6889995,595.3202831,634.9779403,615.101216
FRF,6/22/2017,GRAZ,1,C,10:28,21.3,20.4,18.8,37,16.48,489.9747309,466.4240815,557.8657373,627.4524885,,704.6810364,619.6368917,677.2060581,693.6162105,704.8413962
FRF,6/27/2017,GRAZ,1,C,11:24,24.4,21.2,20.4,35.57,16.6,-146.9892085,60.04294232,280.4625922,675.1421387,430.023314,641.5880227,668.5836496,671.1032414,682.0043326,692.3912215
FRF,7/6/2017,GRAZ,1,C,12:16,23.5,22.3,21.4,31.57,15.28,1,1,1,1,1,,666.1183048,670.7697371,661.5168879,965.0103417
FRF,7/11/2017,GRAZ,1,C,11:32,26.6,22.8,22.1,33.57,15.7,121.5762195,268.4656416,455.6358141,629.8918905,662.9070581,732.5848903,517.0985579,560.7002137,568.2660537,587.9372378
FRF,7/20/2017,GRAZ,1,C,10:53,27.4,23.1,21.9,27.13,16.17,240.9863262,422.0609802,638.366214,1132.691788,867.6225495,761.9836812,705.9807619,722.8655372,755.4814696,781.0183813
FRF,7/26/2017,GRAZ,1,C,2:10,27.2,25,22.2,37.93,16.56,228.1848846,375.8656295,401.759133,523.6682835,1235.50394,3522.446073,604.7423032,674.0254066,742.0266201,776.7597354
FRF,8/1/2017,GRAZ,1,C,11:02,20.8,20.8,19.9,31.33,16.67,141.9499203,263.6954343,387.9936768,528.3119272,580.8146801,599.7675232,637.8678018,666.9346273,694.4651512,738.3419237
FRF,8/9/2017,GRAZ,1,C,1:02,22.1,22.6,19.9,44.4,16.16,253.5982736,343.7937549,404.0328047,442.0719562,559.7438888,654.1181005,679.2319497,697.1184178,732.5793808,769.4962192
FRF,8/17/2017,GRAZ,1,C,11:15,24.8,19.3,18.8,33.77,15.9,145.6722391,304.0486158,404.374907,470.6276554,663.2860132,668.2134027,672.7989105,701.5802894,732.2153843,741.0449259
FRF,8/23/2017,GRAZ,1,C,1:15,21.8,23.9,22.3,40.2,15.81,126.0203925,282.5359639,457.7244026,601.3036944,667.6859511,619.2726937,655.1846424,700.6428053,717.2602893,774.7901199
FRF,9/7/2017,GRAZ,1,C,10:18,16.7,17.7,17.5,42.2,15.31,324.480918,419.9514514,526.1485004,647.1308693,796.5748654,601.0342732,658.131895,677.3596412,702.5411565,735.8725033
FRF,9/13/2017,GRAZ,1,C,11:48,21.8,16.6,15.3,39.7,15.24,,387.3675329,217.5526305,382.3126433,435.6182177,592.8295646,638.6488957,653.6628653,670.7175686,697.4414627
FRF,9/21/2017,GRAZ,1,C,11:04,23.2,19.7,19.2,30.47,15.52,245.2277692,341.2924925,435.9116608,547.6749989,659.7533218,598.5692341,615.2703822,628.9349579,647.9870007,665.2758724
FRF,10/6/2017,GRAZ,1,C,12:10,15.9,14,13.8,29.53,15.36,251.6089064,330.9618633,376.2889222,515.6142633,518.7692402,590.2495105,1,634.494023,630.4806933,652.7497787
FRF,10/13/2017,GRAZ,1,C,11:27,12.2,12.1,11.6,37.53,16.3,257.7576577,1,336.5512744,482.9750942,547.3744047,623.3159957,667.7524499,644.1455836,692.5422311,693.6222838
FRF,5/20/2016,GRAZ,2,A,11:50,18.4,19.1,15.3,29.5,15.37,207.1196393,341.1324834,463.3703463,537.2400409,528.8761962,1646.227826,1656.988516,1835.317057,1717.846194,1818.33908
FRF,5/26/2016,GRAZ,2,A,14:36,28,26.1,22.5,28.03,14.36,183.880148,353.5148159,602.5561174,806.0493178,996.7830868,1709.971341,1706.217562,1690.104403,1662.065976,1689.593685
FRF,6/3/2016,GRAZ,2,A,13:34,22,23.1,21.3,20.77,14.13,158.9991481,367.2490746,592.1141788,888.8963244,926.4776762,1611.724319,1498.293319,1557.084447,1552.67202,1616.782803
FRF,6/9/2016,GRAZ,2,A,10:06,14.4,19.9,18.3,26.17,15.61,130.171224,230.4791636,261.9993756,410.7295974,414.4078717,2002.867862,2273.19392,2032.562562,2056.823297,1952.891847
